,EQ,EQ,EQ,EQ,EQ,Turns,Turns,Turns,Turns,Turns,TT,TT,TT,TT,TT,C1,C1,C1,C1,C1,C2,C2,C2,C2,C2,C3,C3,C3,C3,C3,C4,C4,C4,C4,C4,C5,C5,C5,C5,C5,TI,TI,TI,TI,TI,RelSol,RelSol,RelSol,RelSol,RelSol
,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count,mean,std,min,max,count
EI_group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High,129.2058823529412,7.934502377952871,118,145,34,49.26470588235294,2.7777124175317014,45,55,34,18.147058823529413,2.4879388200260295,13,24,34,5.411764705882353,1.1836678244831098,3,8,34,6.852941176470588,1.2823357698894498,5,9,34,3.235294117647059,0.4305615452020461,3,4,34,1.6764705882352942,0.5348796656113336,1,3,34,1.0,0.0,1,1,34,36.75,3.818555176550892,28.9,46.2,34,37.641176470588235,3.6977567029999565,31.3,44.4,34
Low,85.05882352941177,10.539798101886037,65,102,34,36.205882352941174,2.8260628117652984,32,42,34,11.029411764705882,1.9769167012025979,7,15,34,2.176470588235294,0.7576114073608449,1,3,34,1.588235294117647,0.8569730754521467,0,3,34,2.0,0.6030226891555274,1,3,34,4.117647058823529,1.934764974879737,1,8,34,1.2647058823529411,0.5672273623252055,0,3,34,30.602941176470587,5.863522847082043,20.6,43.8,34,14.63529411764706,8.289711854952873,0.0,30.0,34
Medium,109.25,4.2955340649593055,103,117,32,42.09375,2.619521933729573,38,47,32,12.625,1.431218745256711,10,15,32,3.5,0.5080005080007619,3,4,32,3.53125,0.7177192819911803,2,5,32,2.6875,0.470929074859885,2,3,32,1.90625,0.5880188169032162,1,3,32,1.0,0.0,1,1,32,29.925,2.0189425529861085,26.2,34.1,32,28.015625,4.889627558545774,18.2,36.4,32
