Variable,F,p_value,eta_squared,df_between,df_within
TT,115.53693083253013,2.1567759264930217e-26,0.7043348729225194,2,97
C1,119.18368167202567,7.424555932544872e-27,0.7107649383864222,2,97
C2,247.21683757856434,8.336538181388001e-39,0.8359917534722222,2,97
C3,50.54673139158576,9.124879525494974e-16,0.51033215010142,2,97
C4,41.40548748192969,9.99639970282457e-14,0.46054460791675095,2,97
C5,7.182299168975069,0.0012336503701460624,0.12898711576509186,2,97
TI,26.408980424399697,6.975588478568466e-10,0.3525475887507562,2,97
RelSol,127.193005971339,7.724713218295813e-28,0.7239503090526445,2,97
